"subj","lhs","op","rhs","est","se","z","pvalue","sarg","sarg.df","sarg.p"
"subj2","pos","~","poslag",0.932237769829235,0.0616489265205872,15.1217194271488,1.16461518448784e-51,1.54012222262971,1,0.214599613485154
"subj3","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
"subj3","neg","=~","angry",6.25870936733857,1.51028010705732,4.14407190963619,3.41192676641358e-05,1.44036279246893,1,0.230080641765952
"subj3","neg","=~","sad",5.65609830518243,1.506249037615,3.75508841096976,0.00017328030065189,5.5420751325468,1,0.0185645565139534
"subj3","neg","=~","depressed",3.64610255803813,1.3766573367498,2.6485185969708,0.00808454010733521,1.42522079776103,1,0.232545993156268
"subj3","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj3","neglag","=~","angrylag",6.25870936733857,1.51028010705732,4.14407190963619,3.41192676641358e-05,1.8831499425339,1,0.169976567713006
"subj3","neglag","=~","sadlag",5.65609830518243,1.506249037615,3.75508841096976,0.00017328030065189,2.23965183407582,1,0.134511264418713
"subj3","neglag","=~","depressedlag",3.64610255803813,1.3766573367498,2.6485185969708,0.0080845401073352,1.76833831778629,1,0.183587859052816
"subj3","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj3","pos","=~","excited",0.290371379061588,0.116042288334033,2.50228932254197,0.0123393040814066,18.3809300052067,1,1.80859038287647e-05
"subj3","pos","=~","relaxed",0.290196784505324,0.228253788804217,1.27137773276674,0.203594300410003,0.590535917087123,1,0.442211957705744
"subj3","pos","=~","satisfied",0.692550761190182,0.154265997927279,4.48932863038719,7.14479995024577e-06,6.87109401520786,1,0.00876010080184835
"subj3","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
"subj3","poslag","=~","excitedlag",0.290371379061588,0.116042288334033,2.50228932254197,0.0123393040814066,16.9965410117834,1,3.7447978357485e-05
"subj3","poslag","=~","relaxedlag",0.290196784505324,0.228253788804217,1.27137773276674,0.203594300410003,1.44760470351255,1,0.228912687279138
"subj3","poslag","=~","satisfiedlag",0.692550761190182,0.154265997927279,4.48932863038719,7.14479995024574e-06,6.36726830736595,1,0.0116244403969957
"subj3","neg","~","neglag",1.76650918115328,0.701716537407365,2.51741135769724,0.0118220713062447,0.307065966907313,1,0.579486230922484
"subj3","neg","~","pos",-0.0100462124177659,0.0673337149006883,-0.149200329026598,0.88139556037372,0.307065966907313,1,0.579486230922484
"subj3","pos","~","poslag",0.530349173364568,0.191116809090337,2.77500014723396,0.00552016828345457,0.246851443103393,1,0.619300850901398
"subj4","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
"subj4","neg","=~","angry",3.56940169889393,3.18904471753166,1.11926988018427,0.263025021316491,1.95428897824903,1,0.162125421207217
"subj4","neg","=~","sad",4.1555465055555,3.61392391915911,1.1498710538772,0.250196984578882,0.215141153078984,1,0.642767320152653
"subj4","neg","=~","depressed",7.76170716487262,10.8599483397229,0.714709400272399,0.474788627957304,0.35372832928662,1,0.552010163250463
"subj4","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj4","neglag","=~","angrylag",3.56940169889393,3.18904471753166,1.11926988018427,0.263025021316491,1.88512179378927,1,0.169753162525015
"subj4","neglag","=~","sadlag",4.1555465055555,3.61392391915911,1.1498710538772,0.250196984578882,0.134164058068042,1,0.714153076361416
"subj4","neglag","=~","depressedlag",7.76170716487262,10.8599483397229,0.714709400272399,0.474788627957304,0.360867806225107,1,0.548024672753363
"subj4","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj4","pos","=~","excited",0.837524286736734,0.0486343194521836,17.2208493132133,1.85249683669892e-66,1.23100294376218,1,0.267212078033473
"subj4","pos","=~","relaxed",0.860213146756819,0.0494472981629468,17.3965652060929,8.76007363790662e-68,19.5742020415471,1,9.67670610594697e-06
"subj4","pos","=~","satisfied",0.908688497774817,0.0472109822953128,19.2473965504639,1.48437250555488e-82,12.6698262764158,1,0.000371604058122995
"subj4","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
"subj4","poslag","=~","excitedlag",0.837524286736733,0.0486343194521836,17.2208493132133,1.85249683669914e-66,0.618703038292297,1,0.431529653677395
"subj4","poslag","=~","relaxedlag",0.860213146756819,0.0494472981629468,17.3965652060929,8.76007363790662e-68,19.6016131545719,1,9.5388625732927e-06
"subj4","poslag","=~","satisfiedlag",0.908688497774817,0.0472109822953128,19.2473965504639,1.48437250555488e-82,15.941089366343,1,6.53446586560726e-05
"subj4","neg","~","neglag",0.342937954282141,0.977075433341459,0.350984112976152,0.725600267158442,1.42578801007859,1,0.232453069327701
"subj4","neg","~","pos",-0.00844472674892071,0.0832802782100487,-0.101401279275527,0.919231920994996,1.42578801007859,1,0.232453069327701
"subj4","pos","~","poslag",0.832409029498276,0.0663000167515981,12.5551858096357,3.72306249804415e-36,2.26353709098019,1,0.132451233341387
"subj5","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
"subj5","neg","=~","angry",1.67903736360665,0.240334639156612,6.98624788128239,2.82335061447515e-12,1.6123035747396,1,0.20416829258507
"subj5","neg","=~","sad",1.18067104485498,0.15786622548522,7.47893376956376,7.49280205343371e-14,5.34935750192148,1,0.0207299081860311
"subj5","neg","=~","depressed",0.947420045215744,0.274728737521738,3.44856549686863,0.000563572771503656,1.96707399141285,1,0.16075878407203
"subj5","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj5","neglag","=~","angrylag",1.67903736360665,0.240334639156612,6.98624788128239,2.82335061447515e-12,2.37211145867791,1,0.123519883297467
"subj5","neglag","=~","sadlag",1.18067104485498,0.15786622548522,7.47893376956376,7.49280205343371e-14,5.76398193326078,1,0.0163579595878022
"subj5","neglag","=~","depressedlag",0.947420045215744,0.274728737521738,3.44856549686863,0.000563572771503658,2.32350318076445,1,0.12743274776549
"subj5","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj5","pos","=~","excited",0.565449983358363,0.0973432657907053,5.80882487109196,6.29128548701192e-09,0.284144822319588,1,0.593997333129067
"subj5","pos","=~","relaxed",1.2848858416323,0.130496309304525,9.84614697902225,7.12221539979186e-23,1.2878445308707,1,0.256445556436961
"subj5","pos","=~","satisfied",1.44785261261906,0.136767111970908,10.5862629674233,3.45095075594726e-26,0.734482046859731,1,0.391434229280211
"subj5","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
"subj5","poslag","=~","excitedlag",0.565449983358363,0.0973432657907053,5.80882487109195,6.29128548701196e-09,0.0656022803532928,1,0.797850904759527
"subj5","poslag","=~","relaxedlag",1.2848858416323,0.130496309304525,9.84614697902225,7.12221539979186e-23,1.06465951114078,1,0.302154859184453
"subj5","poslag","=~","satisfiedlag",1.44785261261906,0.136767111970908,10.5862629674233,3.45095075594726e-26,2.16085760439665,1,0.141565659574823
"subj5","neg","~","neglag",0.464343277166034,0.159875866725358,2.90439881063291,0.00367959124478176,0.358841686797498,1,0.549150237741918
"subj5","neg","~","pos",0.170639495056361,0.0850892562876277,2.00541763439026,0.0449184180371038,0.358841686797498,1,0.549150237741918
"subj5","pos","~","poslag",0.50814259479332,0.132018444140009,3.84902729390162,0.000118587794804289,2.13784765910211,1,0.143703385385255
"subj6","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
"subj6","neg","=~","angry",1.08354394020491,0.180374496000516,6.00719039681646,1.88765799120194e-09,0.134656721068898,1,0.713651823403675
"subj6","neg","=~","sad",1.23572263598279,0.202554310724448,6.10069779094383,1.05606411450308e-09,0.0238576912584199,1,0.877247559360167
"subj6","neg","=~","depressed",1.45492312948814,0.240423687725717,6.0514966027306,1.43506312007865e-09,0.210796298116514,1,0.646143988436718
"subj6","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj6","neglag","=~","angrylag",1.08354394020491,0.180374496000516,6.00719039681646,1.88765799120194e-09,0.266889423738972,1,0.605426047039608
"subj6","neglag","=~","sadlag",1.23572263598279,0.202554310724448,6.10069779094383,1.05606411450309e-09,0.00370793927397254,1,0.951444543146897
"subj6","neglag","=~","depressedlag",1.45492312948814,0.240423687725717,6.0514966027306,1.43506312007865e-09,0.252716835394219,1,0.615168533712851
"subj6","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj6","pos","=~","excited",1.13367229349636,0.0751880771070674,15.0778200097073,2.26629002651692e-51,11.2309722156039,1,0.000804434941811947
"subj6","pos","=~","relaxed",1.10613706209167,0.0832028450227431,13.2944620077511,2.49259593716441e-40,4.41832180598948,1,0.0355549885157044
"subj6","pos","=~","satisfied",1.1293631228751,0.0693763559532742,16.2787899040956,1.3960224573043e-59,1.96115072242843,1,0.161390304235459
"subj6","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
"subj6","poslag","=~","excitedlag",1.13367229349636,0.0751880771070674,15.0778200097073,2.26629002651692e-51,13.0164240241822,1,0.000308770876458493
"subj6","poslag","=~","relaxedlag",1.10613706209166,0.0832028450227431,13.2944620077511,2.49259593716453e-40,5.22681329213947,1,0.0222412454592082
"subj6","poslag","=~","satisfiedlag",1.1293631228751,0.0693763559532742,16.2787899040956,1.3960224573043e-59,2.34289580230233,1,0.125855401956181
"subj6","neg","~","neglag",0.388866412089389,0.241047748120177,1.61323395518931,0.106693689055299,0.913785855060486,1,0.339111911442685
"subj6","neg","~","pos",-0.595966820078992,0.159244522454581,-3.74246354532522,0.0001822249747194,0.913785855060486,1,0.339111911442685
"subj6","pos","~","poslag",0.441212378108894,0.105794611481834,4.1704617270101,3.03983106935205e-05,0.0482562128209059,1,0.82612585892855
"subj7","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
